Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
S ISLAMIC STORE original product - The Holy Quran English with New Edition Urdu Translation & Transliteration in Roman Script with Transliteration & Arabic Text 5 Star Paper Quality (HUDA QURAN),Allah,Religion,Islam,Unknown Binding,340.0,4.9,788.0,https://www.amazon.in/ISLAMIC-STORE-English-Translation-Transliteration/dp/B096TK6H4P/ref=zg_bs_g_1318196031_d_sccl_4/000-0000000-0000000?psc=1
A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,Romance,Fantasy,Product Bundle,2065.0,4.8,18234.0,https://www.amazon.in/Court-Thorns-Roses-Paperback-books/dp/1526662221/ref=zg_bs_g_2590358031_d_sccl_2/000-0000000-0000000?psc=1
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,School Books,Olympiads & Scholarship Exams,Paperback,235.0,4.5,4451.0,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_4149834031_d_sccl_1/000-0000000-0000000?psc=1
Dr. Cuterus : Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,Science & Mathematics,Biology & Life Sciences,Paperback,198.0,4.7,601.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_4149711031_d_sccl_2/000-0000000-0000000?psc=1
What We See in the Stars: An Illustrated Tour of the Night Sky,Kelsey Oseid,"Sciences, Technology & Medicine",Astronomy,Hardcover,546.69,4.8,1369.0,https://www.amazon.in/What-We-See-Stars-Illustrated/dp/0399579532/ref=zg_bs_g_1318205031_d_sccl_19/000-0000000-0000000?psc=1
"Women, Race & Class",Angela Y. Davis,Society & Social Sciences,Ethnography,Paperback,275.0,4.8,3261.0,https://www.amazon.in/Women-Class-Penguin-Modern-Classics/dp/0241408407/ref=zg_bs_g_26437177031_d_sccl_11/000-0000000-0000000?psc=1
The Glute Lab,Bret Contreras,Sports,Athletics & Gymnastics,Hardcover,4119.0,4.9,5120.0,https://www.amazon.in/Glute-Lab-Art-Science-Training/dp/1628603461/ref=zg_bs_g_1318259031_d_sccl_16/000-0000000-0000000?psc=1
"Straight Up: Honest, Unfiltered, As-Real-As-I-Can-Put-It Advice for Life’s Biggest Challenges",Trent Shelton,Teen & Young Adult,Biographies,Hardcover,567.0,4.9,1070.0,https://www.amazon.in/Straight-Up-Unfiltered-As-Real-As-I-Can-Put-Challenges/dp/0310765609/ref=zg_bs_g_67803441031_d_sccl_18/000-0000000-0000000?psc=1
"SSB Interview: The Complete Guide, Second Edition",Dr. N.K. Natarajan,Textbooks & Study Guides,Study Guides & Workbooks,Paperback,194.0,4.4,5701.0,https://www.amazon.in/SSB-INTERVIEW-COMPLETE-GUIDE-NATARAJAN/dp/8184955693/ref=zg_bs_g_15417301031_d_sccl_18/000-0000000-0000000?psc=1
"The Comfort Crisis: Embrace Discomfort T: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,Travel,Travel & Holiday Guides,Hardcover,829.0,4.7,5271.0,https://www.amazon.in/Comfort-Crisis-Embrace-Discomfort-Reclaim/dp/0593138767/ref=zg_bs_g_1318297031_d_sccl_6/000-0000000-0000000?psc=1
